City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
205,la rioja,42.25,-2.5,28.18,89,77,2.39,ES,1669944711
206,biak,-0.9131,122.8766,81.48,72,89,1.79,ID,1669944712
207,gizo,-8.103,156.8419,83.14,75,94,4.45,SB,1669944712
208,valdivia,-39.8142,-73.2459,53.69,81,13,0.83,CL,1669944581
209,tommot,58.9564,126.2925,-11.83,92,100,9.93,RU,1669944713
210,ferkessedougou,9.6,-5.2,74.93,72,83,5.21,CI,1669944714
211,derzhavinsk,51.1,66.3167,5.95,80,100,17.2,KZ,1669944714
212,natal,-5.795,-35.2094,79.45,78,40,6.91,BR,1669944715
213,atherton,53.5237,-2.4935,42.04,95,38,1.99,GB,1669944615
214,bandipur,27.9333,84.4167,51.08,66,0,2.06,NP,1669944715
215,bethel,41.3712,-73.414,36.75,61,0,3.44,US,1669944716
216,westport,41.1415,-73.3579,39.74,58,0,5.01,US,1669944628
217,chuy,-33.6971,-53.4616,68.49,98,47,6.33,UY,1669944507
218,kalayaan,14.35,121.5667,77.0,81,100,14.32,PH,1669944717
219,alexandria,31.2156,29.9553,64.47,75,7,3.53,EG,1669944701
220,sao joao da barra,-21.6403,-41.0511,74.64,91,100,18.7,BR,1669944718
221,castro,-24.7911,-50.0119,62.42,90,60,3.27,BR,1669944718
222,henties bay,-22.116,14.2845,59.99,94,33,5.28,,1669944719
223,banda aceh,5.5577,95.3222,77.45,79,100,7.29,ID,1669944493
224,kaniama,-7.5667,24.1833,64.9,98,100,1.45,CD,1669944719
225,esperance,-33.8667,121.9,66.9,74,73,14.76,AU,1669944720
226,governador valadares,-18.8511,-41.9494,72.34,96,100,4.76,BR,1669944720
227,les cayes,18.2,-73.75,77.63,69,0,15.05,HT,1669944721
228,jinsha,32.0898,121.0735,43.0,45,77,6.08,CN,1669944721
229,kloulklubed,7.0419,134.2556,84.7,77,100,13.44,PW,1669944722
230,oranjestad,12.524,-70.027,78.75,84,40,9.22,AW,1669944721
231,ambilobe,-13.2,49.05,73.26,90,34,2.17,MG,1669944618
232,melbu,68.5044,14.8297,35.42,93,100,2.3,NO,1669944723
233,bacolod,10.6667,122.95,84.85,70,99,13.31,PH,1669944723
234,ahuimanu,21.4447,-157.8378,80.31,63,75,12.66,US,1669944724
235,altus,34.6381,-99.334,42.87,62,0,11.5,US,1669944707
236,jinchang,38.4953,102.1739,24.21,41,100,0.34,CN,1669944724
237,numan,9.4667,12.0333,71.85,30,100,1.12,NG,1669944725
238,faanui,-16.4833,-151.75,81.03,76,15,17.43,PF,1669944504
239,namibe,-15.1961,12.1522,68.9,81,99,7.67,AO,1669944726
240,san quintin,30.4833,-115.95,58.19,66,95,9.15,MX,1669944726
241,banjar,-8.19,114.9675,85.82,61,85,4.85,ID,1669944727
242,tiznit,29.5833,-9.5,56.19,88,80,4.14,MA,1669944727
243,mar del plata,-38.0023,-57.5575,60.82,89,75,8.01,AR,1669944450
